epoch,clf_loss,aigu_auc,ffpp_auc,combined_auc,lr,time_sec,hnm_active
1,0.648823,0.988729,0.941672,0.964914,0.00005556,3705.0,0
2,0.401143,0.993416,0.955592,0.974320,0.00007778,4640.7,0
3,0.323603,0.993795,0.917915,0.955102,0.00010000,5017.3,0
4,0.288461,0.995398,0.874218,0.932842,0.00009915,4569.5,0
5,0.239998,0.995377,0.875750,0.933650,0.00009663,4330.0,0
6,0.210614,0.995247,0.840692,0.914711,0.00009252,3875.8,0
7,0.183784,0.994753,0.853030,0.921170,0.00008696,4714.4,0
8,0.166397,0.996502,0.813566,0.900400,0.00008015,5683.4,0
9,0.145059,0.994535,0.804919,0.894718,0.00007231,4044.8,0
10,0.129357,0.995276,0.902227,0.947611,0.00006372,4403.3,0
11,0.112571,0.994582,0.788120,0.885353,0.00005466,4548.8,0
12,0.103493,0.994901,0.817269,0.901721,0.00004544,4572.4,1
13,0.085886,0.996413,0.704847,0.838044,0.00003638,4467.9,1
14,0.075676,0.995547,0.604410,0.775706,0.00002779,3521.4,1
